Factory Name,Factory Type,Product Type Type,"Nike, Inc. Brand(s)",Events,Supplier Group,Address,City,State,Postal Code,Country / Region,Region,Total Workers,Line Workers,% Female Workers
COOPERSHOES - COOPERATIVA DE TRABALHO E INDUSTRIA DE CALÇADOS JOANETENSE LTDA (Picada Café),FINISHED GOODS,Footwear,Converse,,COOPERSHOES,Rua Vicente Prieto 3581,Picada Cafe,Rio Grande do Sul,,Brazil,AMERICAS,721,370,65
DONGJIN (Indonesia),MATERIALS,Footwear,Nike,,DONGJIN,Artha Industrial Hill,Karawang,Jawa Barat,41361,Indonesia,S ASIA,413,325,14
"QUANG VIET ENTERPRISE CO., LTD",FINISHED GOODS,Apparel,Nike,Collegiate,QUANG VIET,UNIT 2  CU CHI TOWN,HO CHI MINH,Ho Chi Minh,70000,Vietnam,SE ASIA,5229,4584,88
Lotus Footwear Enterprises Limited Unit-2,FINISHED GOODS,Footwear,Nike,,FENG TAY,Plot 3C SIPCOT Industrial Park Mangal Village Mathur post,Near Kanchipuram,Tamil Nadu,631701,India,S ASIA,5022,4997,63
Diamant srl #2,FINISHED GOODS,Footwear,Nike,,DIAMANT,Via Giorgio Perlasca 6B,MONTEBELLUNA,Veneto,31044,Italy,EMEA,58,50,81
PAIHO (DONGGUAN 3),MATERIALS,Footwear,Nike,,PAIHO GROUP,HUANBAO INDUSTRY DISTRICT,DONGGUAN,Guangdong,523998,China,N ASIA,1800,950,55
Ripon Athletic,FINISHED GOODS,Apparel,Nike,,RIPON,"290 Junction St, P.O. BOX 25",Berlin,Wisconsin,54923,USA,AMERICAS,140,120,95
ShaoYang LianTai SQ HanShou Upper Facility,FINISHED GOODS - COMPONENTS,Footwear,Nike,Collegiate,STELLA,"Hanshou Industrial Park, Taizimiao Town, HanShou County",Chande City,Hunan,415907,China,N ASIA,1070,1003,99
FAR EASTERN POLYTEX (VIETNAM) LTD,MATERIALS,Apparel,Nike,Collegiate,FAR EASTERN,Land Lot B 5B CN Road DC Bau Bang Lai Uyen town,Bau Bang District,Bình Duong,75000,Vietnam,SE ASIA,1101,476,31
PT Mitra Garindo Perkasa,FINISHED GOODS,Apparel,Nike,,MAP,JL Pancasila V 21 Cicadas Gunung Putri Bogor,Bogor,Jawa Barat,16964,Indonesia,S ASIA,1004,867,86
DOG STYLE SA DE CV,FINISHED GOODS,Equipment,Nike,,DOG STYLE SA,CARRETERA LEON LAGOS DE MORENO NO 2237,LEON GTO,Guanajuato,37690,Mexico,AMERICAS,268,238,70
NICE APPAREL COMPANY LIMITED,FINISHED GOODS,Apparel,Nike,Collegiate,NICE APPAREL,2 7 8 slash 1 slash 3 Soi Ngamwongwan 25 slash19,MUANG DISTRICT,Nonthaburi,11000,Thailand,SE ASIA,1068,704,71
"Hi-Tech Chai1 Co.,Ltd. ",FINISHED GOODS,Apparel,Nike,Collegiate,HI TECH,999 Moo 3  Tumbol Ladyai   Amphur Muang,Muang,Chaiyaphum,36000,Thailand,SE ASIA,1092,973,59
"Ting Heng Co., Ltd",MATERIALS,Footwear,Converse,,TING HENG,Lot HA3 and HA4 and 01HA5 and 02HA5,Duc Hoa,Long An,850000,Vietnam,SE ASIA,190,150,30
"LI CHENG ENTERPRISE CO.,LTD",FINISHED GOODS - COMPONENTS,Footwear,Nike,,LI CHENG ENTERPRISE,NO 5 DOU KUNG 12 ROAD DOU LIU CITY,Yun-Lin Hsien,Yunlin,64645,Taiwan,N ASIA,360,211,44
"HI-TECH SURIN APPAREL (2020) CO., LTD (00001)",FINISHED GOODS,Apparel,Nike,Collegiate,HI TECH,489 Moo 7,Thatoom,Surin,32120,Thailand,SE ASIA,778,695,66
Quanzhou Unison Light Industrial Manufacturing Co. Ltd.,FINISHED GOODS,Apparel,Nike,,QUANZHOU UNISON LIGHT INDUSTRIAL,ROOM28 YANGSHI STREET JINLONG YUXIA PARK,Quanzhou,Fujian,362000,China,N ASIA,75,62,65
PETTENATI,FINISHED GOODS,Apparel,Nike,,PETTENATI,Rod RSC 453 Km 2 4,Caxias Do Sul,Rio Grande do Sul,95010,Brazil,AMERICAS,667,561,88
ANIGER CALCADOS SUPRIMENTOS E EMPREENDIMENTOS LTDA,FINISHED GOODS,Footwear,Nike,,ANIGER,"Rua Armindo Eltz, 51 - Quatro Colonias",Campo Bom RS,Rio Grande do Sul,,Brazil,AMERICAS,441,64,48
EverTech Plastic Vietnam Company LTD Branch,FINISHED GOODS - COMPONENTS,Footwear,Nike,,EVER TECH,Phuoc Hai Quarter Thai Hoa Town,Tan Uyen City,Bình Duong,75416,Vietnam,SE ASIA,650,591,43
Ad Dulyal,FINISHED GOODS,Apparel,Nike,,MAS HOLDINGS,Part of land no 1075 Basin 5 Ad Dulayl,Zarqa,Az Zarqa,11183,Jordan,EMEA,1191,1046,87
DUCKSAN ,FINISHED GOODS - COMPONENTS,Footwear,Nike,,DUCKSAN,76 Opoanro Opoeup,Gyeonggi-do,Gyeonggido,12774,South Korea,N ASIA,29,24,45
"SUNNY JET HOSIERY CO., LIMITED",FINISHED GOODS,Apparel,Nike,,SUNNY JET,NO 9 LONGQUAN ROAD GUANGLING INDUSTRY ZONE,YANGZHOU,Jiangsu,225003,China,N ASIA,240,160,85
Dongguan leefong label manufacture co ltd.,FINISHED GOODS,Apparel,Nike,,LEE BOU LABEL ENTERPRISE,NO 9 WUSONG ROAD YUWU COMMUNITY,DONGGUAN,Guangdong,523117,China,N ASIA,475,406,63
Styldea SRL,FINISHED GOODS,Footwear,Converse,,STYLDEA,VIA BUSTA  9 3,Altivole,Treviso,31030,Italy,EMEA,11,8,91
"AHP APPAREL PVT LTD., UNIT 60",FINISHED GOODS,Apparel,Nike,Collegiate,SHAHI,207 ABDE F KIADB INDUSTRIAL AREA,HASSAN,Karnataka,573201,India,S ASIA,2704,906,75
"framas Korea Vina Co., Ltd",FINISHED GOODS - COMPONENTS,Footwear,Nike,,FRAMAS,Workshop 1 to 5 Longthanh IP Longthanh District,Dong Nai,Ðng Nai,815300,Vietnam,SE ASIA,977,679,41
TONG HONG TANNERY CO LTD (VIETNAM),MATERIALS,Footwear,Nike,,TONG HONG,LOT NO II1 MY XUAN A2 INDUS MY XUAN WARD PHU MY CITY BRVT,PHU MY,Bà Ra - Vung Tàu,795638,Vietnam,SE ASIA,1310,1210,40
GOLD LONG JOHN (VIETNAM),FINISHED GOODS - COMPONENTS,Footwear,Nike,,GOLD LONG JOHN,LOT NO 7 ROAD 5A NHON TRACH 2 INDUSTRIAL ZONE,Dong Nai,Ðng Nai,815956,Vietnam,SE ASIA,453,308,33
VIRTUE KING VIETNAM COMPANY LIMITED,FINISHED GOODS,Equipment,Nike,Collegiate,Guang Der,No 28 DT743 Road Song Than 2 Industrial Zone,Binh Duong,Bình Duong,72000,Vietnam,SE ASIA,1625,1574,71
DASS NORDESTE CALCADOS E ARTIGOS ESPORTIVOS LTDA.,FINISHED GOODS,Apparel,Nike,,CLASSICO,Av Juracy Magalhaes,Vitoria da Conquista,Bahia,,Brazil,AMERICAS,2415,1480,70
"FORMOSA TAFFETA (CHANGSHU) CO., LTD",MATERIALS,Apparel,Nike,,FORMOSA TAFFETA,No.15 Peng-Hu RD.,Changshu,Jiangsu,215500,China,N ASIA,234,128,28
Nice Apparel Company Limited Branch Chumphae,FINISHED GOODS,Apparel,Nike,,NICE APPAREL,219 Moo 2 Maliwan Road T Non Udom,Chumpae,Khon Kaen,40130,Thailand,SE ASIA,3293,3207,72
"Vietnam ECI Elastic Co., Ltd",MATERIALS,Apparel,Nike,,ECI,D1 2 1 Da Deng Industrial Park,Thu Dau Mot,Bình Duong,821390,Vietnam,SE ASIA,290,252,50
Shoetown JinTan,FINISHED GOODS,Footwear,Nike,Collegiate,SHOETOWN,Da Wan Gang Village,Qingyuan City,Guangdong,511515,China,N ASIA,909,834,91
"DAEWON CHEMICAL VINA CO., LTD.",MATERIALS,Footwear,Nike,,DAEWON,ROAD NO5 LONG THANH INDUSTRIAL ZONE TAM AN COMMUNE,LONG THANH,Ðng Nai,810000,Vietnam,SE ASIA,374,192,4
YKK Taiwan Chung Li 3rd Factory,MATERIALS,Footwear,Nike,,YKK,No 28 Heding Rd,Taoyuan,Taoyuan,32061,Taiwan,N ASIA,148,134,1
"QINGDAO HONGTAISHENGDA TRADE CO., LTD.",FINISHED GOODS - COMPONENTS,Footwear,Nike,,"QINGDAO HONGTAISHENGDA TRADE CO., LTD.",Beijingxi Road 41,Qingdao,Shandong,266300,China,N ASIA,116,108,90
PT Trigoldenstar Wisesa,FINISHED GOODS,Apparel,Nike,,TRIGOLDENSTAR,Jl Rumambe Desa Anggadita Kec Klari,Karawang,Jawa Barat,41371,Indonesia,S ASIA,131,106,80
"Vietnam Dona Standard Footwear Co., Ltd",FINISHED GOODS,Footwear,Nike,,FENG TAY,Xuan Loc Industrial Zone,Xuan Loc District,Ðng Nai,76000,Vietnam,SE ASIA,22478,19192,66
"Saigon Daryar Plastic Co.,Ltd",FINISHED GOODS,Equipment,Nike,,SAIGON DARYAR,27C DT743 street,Di An,Bình Duong,590000,Vietnam,SE ASIA,365,341,83
IMPULSE FASHION TAE HEE JOINT STOCK COMPANY,FINISHED GOODS,Apparel,Nike,,IMPULSE FASHION COMPANY,Phu Bai Industrial Zone,HUE,Tha Thiên-Hu,49000,Vietnam,SE ASIA,648,555,70
"Fjord, Ltd.",FINISHED GOODS,Apparel,Nike,,TEGRA,3099 N Pacific Highway Suite 100,Woodburn,Oregon,97071,USA,AMERICAS,114,98,95
"KKN Apparel Co.,ltd",FINISHED GOODS,Apparel,Nike,Collegiate,NICE APPAREL,KKSEZ Neangkok Paklong Commune  Modulsiem Koh Kong  Cambodia,Koh Kong,Kaoh Kong,9401,Cambodia,SE ASIA,7769,6974,62
Top Summit Garment Inc,FINISHED GOODS,Apparel,Nike,Collegiate,SABRINA,National Rd No 4,Kandal,Kandaal,315000,Cambodia,SE ASIA,6030,4229,91
COOPERSHOES-COOPERATIVA DE TRABALHO E INDUSTRIA DE CALCADOS JOANETENSE LTDA (Morada Nova).,FINISHED GOODS,Footwear,Converse,,COOPERSHOES,Avenida Vereador Paulo Rabelo de Brito 2065,Morada Nova,Ceará,,Brazil,AMERICAS,3712,3227,53
"HESHENG CO., LTD.",FINISHED GOODS,Equipment,Nike,Collegiate,HESHENG,Lot G14 Que Vo Industrial Park expansion,Bac Ninh,Bc Ninh,16852,Vietnam,SE ASIA,66,61,55
"Shoetown Lei Zhou Footwear Co., Ltd",FINISHED GOODS - COMPONENTS,Footwear,Nike,Collegiate,SHOETOWN,Lei Nan street,Zhan Jiang City,Guangdong,524200,China,N ASIA,283,251,96
"Hi-Tech Viet Nam Apparel Co.,Ltd.",FINISHED GOODS,Apparel,Nike,Collegiate,HI TECH,"Block A3.2, Tay An Industrial Zone, Duy Trung Commune",Duy Xuyen District,Qung Nam,560000,Vietnam,SE ASIA,1692,1677,84
"Longchuan Somona Footwear Co.,Ltd Wuhua Branch",FINISHED GOODS - COMPONENTS,Footwear,Nike,Collegiate,STELLA,Shuizhai Industry Garden,Meizhou,Guangdong,514400,China,N ASIA,882,828,92
FORMOSA TING SHO ENT CO LTD (TAIWAN),MATERIALS,Footwear,Nike,,FORMOSA TING SHO,NO 37 SEC 2 ZHONGSHAN RD DACUN,Changhua,Changhua,515,Taiwan,N ASIA,75,20,65
"C&W Embroidery, Inc.",FINISHED GOODS,Apparel,Nike,,C&W,386 Hwy 356,Rienzi,Mississippi,38865,USA,AMERICAS,150,110,80
SADESA THAILAND Sena,MATERIALS,Footwear,Nike,,SADESA,89 Moo 11 Samkok sena Road,Ayutthaya,Phra Nakhon Si Ayu,13110,Thailand,SE ASIA,574,401,17
YSA  MOL,FINISHED GOODS,Apparel,Nike,,YESIM,STR CEBANOV 3a,TARAKLIA,Gagauzia-- Unitate,7402,Moldova,EMEA,392,313,95
"Long Fa Shoes Industrial Huizhou Co., Ltd.",FINISHED GOODS,Footwear,Nike,Collegiate,DEAN SHOES,"LONGTING INDUS. PARK, LONGXI TOWN, BOLUO COUNTY",Huizhou,Guangdong,516121,China,N ASIA,5813,4490,57
C.C. Creations,FINISHED GOODS,Apparel,Nike,Collegiate,CC CREATIONS,619 Capitol Pkwy,Bryan,Texas,77807,USA,AMERICAS,343,276,57
TNG INVESTMENT AND TRADING JSC - DONG HY GARMENT,FINISHED GOODS,Apparel,Nike,,TNG,Ngoi Cheo Hamlet Nam Hoa Commune Dong Hy District,N/A,Thái Nguyên,24000,Vietnam,SE ASIA,1327,1181,75
PT.BERKAH KARYA JAYA SENTOSA,FINISHED GOODS,Apparel,Nike,Collegiate,PT.BERKAH KARYA,KIC Gatot Subroto St block 8F no 07 Ngaliyan,Semarang,Jawa Tengah,50181,Indonesia,S ASIA,123,111,45
DONGJIN TEXTILE DYEING HOUSE,FINISHED GOODS - COMPONENTS,Footwear,Nike,,DONGJIN,"#16-13 SINSANRO, SA-HA GU, BUSAN, KOREA","SA-HA GU, BUSAN",Busan Gwangyeogsi,49432,South Korea,N ASIA,39,36,16
"Nan Yang Garment Co., Ltd.",FINISHED GOODS,Apparel,Nike,Collegiate,NAN YANG,99 1 Moo 4 Banna,Wachirabaramee,Phichit,66140,Thailand,SE ASIA,1958,1792,76
PT. Formosa Bag Indonesia,FINISHED GOODS,Equipment,Nike,,FORMOSA,Jl Raya Semarang Puwodadi Km 26 Gebangan Tegowanu,Grobogan,Jawa Tengah,58165,Indonesia,S ASIA,5865,5191,81
"SNP CO.,LTD.",FINISHED GOODS,Apparel,Nike,Collegiate,SPORTS CITY,No 12 VSIP II Road,Thu Dau Mot City,Bình Duong,75000,Vietnam,SE ASIA,2780,2456,90
"K-L MFG. CO., INC.",FINISHED GOODS,Apparel,Nike,Collegiate,K&L MANUFACTURING,2438 North Ruby Street,Spokane,Washington,99207,USA,AMERICAS,97,92,61
"Dongguan Stella Footwear Product Creation Co., LTD.",FINISHED GOODS,Footwear,Nike,Collegiate,STELLA,Hou Da Road Da Ling Management District,Dongguan,Guangdong,523835,China,N ASIA,410,270,55
MAXPORT LIMITED VIET NAM _ NAM DINH BRANCH MAXPORT 06,FINISHED GOODS,Apparel,Nike,Collegiate,MAXPORT,No 361 Nguyen Van Troi,Nam Dinh,Nam Ðnh,42000,Vietnam,SE ASIA,439,395,87
"Haiyan Golden Gate Socks Industry Co., Ltd",FINISHED GOODS,Apparel,Nike,,HAIYAN,No 15 Zhangqiao Village,Haiyan,Zhejiang,314300,China,N ASIA,66,48,52
Blue Star Graphics,FINISHED GOODS,Apparel,Nike,,BLUE STAR,15825 Gateway Drive,Frisco,Texas,75033,USA,AMERICAS,45,41,65
PT. POU YUEN INDONESIA,FINISHED GOODS,Footwear,Nike,,POU CHEN,"JALAN RAYA CIANJUR BANDUNG KM7, KAMPUNG LEMBUR SAWAH",CIANJUR,Jawa Barat,43284,Indonesia,S ASIA,12122,9959,57
PT. Glorystar Wisesa,FINISHED GOODS,Apparel,Nike,,GLORYSTAR WISESA,Jl Raya Cirebon Bandung Paningkiran Sumberjaya,Majalengka,Jawa Barat,45455,Indonesia,S ASIA,496,427,95
Bharath Enterprises Unit 1,FINISHED GOODS - COMPONENTS,Footwear,Nike,Collegiate,BHARATH,No 11 1G,Ranipet,Tamil Nadu,632401,India,S ASIA,28,21,0
Long Chuan Simona Footwear Co. Ltd,FINISHED GOODS,Footwear,Nike,Collegiate,STELLA,Xin cheng Long Chuan,HeYuan,Guangdong,517300,China,N ASIA,4537,3848,87
Cassia Garment Company Limited,FINISHED GOODS,Apparel,Nike,,RAMATEX,287 289 Suksawad 30 Suksawad Road Bangpakok,Rathjaburana,Bangkok,10140,Thailand,SE ASIA,775,641,64
Iruna Comunicacion Textil - SERISUR,FINISHED GOODS,Apparel,Nike,,IRUNA,Poligono Industrial La Rosa V,Chauchina-Granada,Andalucía,18330,Spain,EMEA,16,13,50
Minone Enterprises Co Ltd,FINISHED GOODS,Equipment,Nike,Collegiate,MINONE,253 MOO 6 NONGBOT SUBDISTRICT,NANGRONG,Buri Ram,31110,Thailand,SE ASIA,578,429,77
MAS FABRICS (PRIVATE) LIMITED – INTIMO DIVISION,MATERIALS,Apparel,Nike,,MAS HOLDINGS,MAS Fabric Park,Thulhiriya,Kurunegala,71610,Sri Lanka,S ASIA,992,934,21
TUNTEX SOC TRANG VIETNAM CO.LTD,FINISHED GOODS,Apparel,Nike,Collegiate,TUNTEX,"OT H, AN NGHIEP INDUSTRIAL ZONE, AN HIEP WARD",Soc Trang,Sóc Trang,95000,Vietnam,SE ASIA,1491,1366,88
TEIJIN CORDLEY LTD (TAIWAN OKAHATA CO LTD) (JAPAN),MATERIALS,Footwear,Nike,,TEIJIN CORDLEY,1 446 NAGAHISA NAGAHISA CHO OHDA,Shimane,Simane,,Japan,N ASIA,183,160,30
PT. TKG TAEKWANG INDONESIA,FINISHED GOODS,Footwear,Nike,,TAEKWANG,Belendung II RT 17 RW 06,"Belendung, Cibogo",Jawa Barat,41285,Indonesia,S ASIA,27904,24373,87
"Universal Sporting Goods (Thai) Co., Ltd.",FINISHED GOODS,Apparel,Nike,Collegiate,UNIVERSAL,91 Moo 1 Petchakasern Rd Soi Wattheintad T Banmai,samphan,Nakhon Pathom,73110,Thailand,SE ASIA,452,381,79
"VIETNAM CHINGLUH SHOES CO.,LTD - VINH LONG BRANCH II",FINISHED GOODS,Footwear,Nike,,CHING LUH,HOA PHU INDUSTRIAL PARK,LONG HO DISTRICT,Vinh Long,890000,Vietnam,SE ASIA,618,496,45
"M.I.I.T. CO., LTD",FINISHED GOODS,Apparel,Nike,,M.I.I.T. CO,30 9 Moo 1,Mueang Samutsakhon,Samut Sakhon,74000,Thailand,SE ASIA,393,315,72
M S STYLE TEXTILE (PVT.) LIMITED (SUNDER) - unit VI,FINISHED GOODS,Apparel,Nike,,STYLE TEXTILE,PLOT NO 143 to 146 and 151 to 155,Lahore,Punjab,53801,Pakistan,S ASIA,4131,3988,15
ARTFX INC.,FINISHED GOODS,Apparel,Nike,,TEGRA,3801 E Princess Anne Rd.,Norfolk,Virginia,23502,USA,AMERICAS,308,261,38
VIET THINH GARMENT JOINT STOCK COMPANY,FINISHED GOODS,Apparel,Nike,Collegiate,SOUTH ISLAND,58 Thoai Ngoc Hau street,HO CHI MINH,Ho Chi Minh,84,Vietnam,SE ASIA,1568,1288,77
National Emblem Wang Chu Embroidery Co.,FINISHED GOODS - COMPONENTS,Apparel,Nike,,NATIONAL EMBLEM,5F  No 3  Aly 11 Ln  327,New Taipei City,New Taipei,,Taiwan,N ASIA,14,10,100
PT. Feng Tay Indonesia Enterprises,FINISHED GOODS,Footwear,Nike,,FENG TAY,Jl Raya Banjaran Km 14 6,Bandung,Jawa Barat,40376,Indonesia,S ASIA,15390,13278,64
"Nantong Golden Yuelai Gym Equipment Co., Ltd",FINISHED GOODS,Equipment,Nike,,NANTONG GOLDEN,No 76 Xincheng Road,Haimen,Jiangsu,226131,China,N ASIA,102,67,34
"Haivina Co., Ltd.",FINISHED GOODS,Equipment,Nike,,HAIVINA,Lang Xuyen village,Hai Duong province,Hi Duong,170000,Vietnam,SE ASIA,2391,2148,96
Hoosier Manufacturing - HM4,FINISHED GOODS,Apparel,Nike,Collegiate,INDIANA KNITWEAR,Km 28 and 5 Carretera al Pacifico,Bodegas GC,Guatemala,1063,Guatemala,AMERICAS,871,856,60
"FASHION GARMENTS 2 CO., LTD. - TAN PHU BRANCH",FINISHED GOODS,Apparel,Nike,,FASHION GARMENTS,Street 3 Tan Phu Industrial Zone Tan Phu District,Tan Phu,Ðng Nai,76800,Vietnam,SE ASIA,3137,2751,80
ANNIC II S.A.,FINISHED GOODS,Apparel,Nike,Collegiate,GILDAN,Las Palmeras Industrial Park,Masatepe,Managua,42600,Nicaragua,AMERICAS,5991,5910,57
"FASHION GARMENTS 2 CO., LTD",FINISHED GOODS,Apparel,Nike,,HIRDARAMANI,"Lot 4, Road 13A, Bien Hoa Industrial Zone 2, Long Binh Ward",Bien Hoa,Ðng Nai,810000,Vietnam,SE ASIA,1832,1676,85
PT. Grand Best Indonesia,FINISHED GOODS,Apparel,Nike,Collegiate,TUNTEX,Jl Coaster No 8 Blok B 18 19 20 21 22,SEMARANG,Jawa Tengah,50174,Indonesia,S ASIA,1582,1425,94
"ENPING E-MART ENTERPRISE CO., LTD.,",MATERIALS,Footwear,Nike,,COSMOPOLITAN TEXTILE,Liu Jia Song Industrial Park Dahuai Town,Enping City,Guangdong,529467,China,N ASIA,116,92,0
Chang Tai Song Lin Woven Belt Co. LTD,MATERIALS,Apparel,Nike,,CHI YANG RIBBON,Xin Tai Industrial Zone,Zhang Zhou,Fujian,363900,China,N ASIA,122,109,70
SHAN BEEN JEOU INDUSTRIAL CO LTD (TAIWAN),MATERIALS,Footwear,Nike,,SHAN BEEN,NO 60 LANE 132 SHA TIAN ROAD SECTION 2 DA DU DISTRICT,Taichung,Taichung,43244,Taiwan,N ASIA,89,72,53
"YKK VIETNAM CO., LTD",MATERIALS,Apparel,Nike,,YKK,N2 Road Nhon Trach 3 Long Tho Nhon Trach Dong Nai,Bien Hoa,Ðng Nai,810000,Vietnam,SE ASIA,2022,1541,1
"Qingdao Qien Sporting Goods Co.,Ltd",FINISHED GOODS,Equipment,Nike,,QINGDAO QIEN,Number 8 Yanghui Road,Qingdao,Shandong,266232,China,N ASIA,35,21,19
"YieChang Industrial Co., Ltd.",FINISHED GOODS,Equipment,Nike,Collegiate,YIECHONG,No 389 Shuiyuan Rd  Fengyuan Dist,Taichung,Taichung,420076,Taiwan,N ASIA,16,12,70
GOLD LONG JOHN (INDONESIA),FINISHED GOODS - COMPONENTS,Footwear,Nike,,GOLD LONG JOHN,Jl Raya Batujajar KM 3 5 desa giriasih,Kecamatan Batujajar,Jawa Barat,40561,Indonesia,S ASIA,297,184,10
PT. Gelindo Garmentama,FINISHED GOODS,Apparel,Nike,,EAGLE NICE,Jalan Cangkuang Kulon No 38,Bandung,Jawa Barat,40239,Indonesia,S ASIA,2079,1738,55
RS/Tupa Ind. De Plastico Ltda,FINISHED GOODS - COMPONENTS,Footwear,Nike,,RS TUPA INDUSTRIA DE PLASTICOS,"Rua Ivo Johann, 10",Novo Hamburgo,Rio Grande do Sul,9.35466e+007,Brazil,AMERICAS,175,127,73
"Chuzhou Korrun Future Luggage Products Co., Ltd",FINISHED GOODS,Equipment,Nike,,FORMOSA,1 Building  No 708 Huizhou North Road,Chuzhou,Anhui,239000,China,N ASIA,651,445,65
"Pro Kingtex Vietnam Co., Ltd",FINISHED GOODS,Apparel,Nike,,EAGLE NICE,D10/89 Q National High Way 1A Tan Tao Ward Binh Tan District,HO CHI MINH CITY,Ho Chi Minh,700000,Vietnam,SE ASIA,2149,1299,83
Nan Yang Garment,FINISHED GOODS,Apparel,Nike,Collegiate,NAN YANG,37 Moo 5 Ladyao Banrai Rd,Ladyao Nakhonsawan,Nakhon Sawan,60150,Thailand,SE ASIA,886,867,78
PT Batang Apparel Indonesia,FINISHED GOODS,Apparel,Nike,Collegiate,ONTIDE,Nanom Desa Wringin Gintung Kecamatan,Batang,Jawa Tengah,51261,Indonesia,S ASIA,2604,2549,84
BAIKSAN (CHINA),MATERIALS,Footwear,Nike,,BAIKSAN,No 4 Industrial West Road,Dongguan,Guangdong,523950,China,N ASIA,160,120,30
R. A. INTERTRADING S. A.,FINISHED GOODS,Apparel,Nike,,RA INTERTRADING,JOSE IGNACIO RUCCI 3951,CAPITAL FEDERAL,Buenos Aires,,Argentina,AMERICAS,810,700,45
Fairway Enterprises Company Limited (India Branch),FINISHED GOODS,Footwear,Nike,,FENG TAY,Ms  Fairway Enterprises Company Limited  Unit I,Krishnagiri,Tamil Nadu,635304,India,S ASIA,6900,6500,80
TKG TAEKWANG VINA JOINT STOCK COMPANY BRANCH 2,FINISHED GOODS,Footwear,Nike,,TAEKWANG,KCN Agtex Long Binh,Bien Hoa,Ðng Nai,70000,Vietnam,SE ASIA,10593,9714,88
PMI Joinease plastic & metal products,FINISHED GOODS,Equipment,Nike,,PMI JOINEASE,Mutoutan Group No 2 Lizhidun Villiage,Hui Zhou,Guangdong,516131,China,N ASIA,1170,942,49
TKG ECO MATERIAL SYNTHETIC (VIETNAM),MATERIALS,Footwear,Nike,,TKG ECO MATERIAL,Lot 45 18 02 Road N14 Phuoc Dong Industrial Park,Tay Ninh,Tây Ninh,840000,Vietnam,SE ASIA,427,326,27
Ningbo Shenzhou Knitting Co. Ltd,FINISHED GOODS,Apparel,Nike,Collegiate,SHENZHOU,50 TianMuShan Road,Ningbo,Zhejiang,315800,China,N ASIA,2423,2272,71
Southern Apparel Contractors S.A. The Arena,FINISHED GOODS,Apparel,Nike,,TEGRA,ZOLI INHDELVA SPS El Guanal,San Pedro Sula,Cortés,21103,Honduras,AMERICAS,5413,3901,54
"JIAXING KANAAN BAG R&D CO.,LTD",FINISHED GOODS,Equipment,Nike,,KANAAN,Industrial Zone Qixing Town Nanhu District,Jiaxiang,Zhejiang,314002,China,N ASIA,121,30,80
GB LIGHT CO LTD,MATERIALS,Footwear,Nike,,GB LIGHT,22 Beombang 3ro 30beon gil,Gangseo Gu,Busan Gwangyeogsi,46727,South Korea,N ASIA,109,38,0
"AROMA SUCCESS GARMENT CO., LTD",FINISHED GOODS,Apparel,Nike,,SABRINA,Taing Kantout Village,Phnom Penh,Kampong Spueu,50107,Cambodia,SE ASIA,1320,1189,90
RJ Liebe Athletic Lettering Co.,FINISHED GOODS,Apparel,Nike,,RJ LIEBE ATHLETIC LETTERING,582 Goddard Ave,Chesterfield,Missouri,63005,USA,AMERICAS,22,10,60
Ortholite India Pvt Ltd.,FINISHED GOODS - COMPONENTS,Footwear,Nike,,ORTHOLITE,S F No 31/3  32/1  32/2  32/3  35/1A  35/1B  35/3A 35/4A1  35/4A2  36/3 & 41/3  Somalapuram Village,AMBUR,Tamil Nadu,635802,India,S ASIA,361,103,0
"JiangSu HongBao Sporting Goods Co., Ltd.",FINISHED GOODS,Equipment,Nike,Collegiate,YEGIN,No 3 Building ShangShui Industry,HuaiAn,Jiangsu,223400,China,N ASIA,410,371,86
SAMBU FINE CHEMICAL CO LTD (VIETNAM),FINISHED GOODS - COMPONENTS,Footwear,Nike,,SAMBU FINE CHEMICAL,Dong Xoai1 Industrial Park,Tan Thanh Commune Dong Xoai City,Bình Phuc,67108,Vietnam,SE ASIA,251,176,30
"Jiangsu Asian Sourcing Headwear MFG. CO., Ltd",FINISHED GOODS,Apparel,Nike,Collegiate,ASIAN SOURCING HEADWEAR,No  2 South Guangzhou Road,Huai An,Jiangsu,223005,China,N ASIA,953,864,86
Regent Garment Factory Ltd ,FINISHED GOODS,Apparel,Nike,Collegiate,CRYSTAL,KCN Lai Vu  H Kim Thanh T Hai Duong,Hai Duong,Hi Duong,170000,Vietnam,SE ASIA,1715,1440,80
MAS KREEDA  Vaanavil ,FINISHED GOODS,Apparel,Nike,,MAS HOLDINGS,Plot No 2 Agriculture Faculty Road,Kilinochchi,Kilinochchi,42000,Sri Lanka,S ASIA,1808,1529,67
"Changzhou Qingqing Knitted Textile Co., Ltd.",MATERIALS,Apparel,Converse,,DECOR,80 Xingbiao North Rd  Zhiqian Town Jintan District,Changzhou,Jiangsu,213234,China,N ASIA,113,100,15
AHP APPARELS PVT.LTD. UNIT 61,FINISHED GOODS,Apparel,Nike,Collegiate,SHAHI,SY NO 34 35 37 A TO 37H,"SHIKARIPURA, SHIVAMOGGA",Karnataka,577427,India,S ASIA,1573,861,75
PT Lucky Textile Semarang Demak,FINISHED GOODS,Apparel,Nike,Collegiate,TUNTEX,Dukuh Tegalrejo RT 001 RW 002,Demak,Jawa Tengah,59571,Indonesia,S ASIA,1672,1357,95
